Question and Choices,Answer
"Based on the question about apple tree, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The farmer sought an apple tree cultivar that was hardy in the western United States, where was he looking to plant it?
A. rhode island
B. texas
C. new york
D. idaho
E. new hampshire",the correct choice is D which is idaho.
"Based on the question about person, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What does a person want to get at a restaurant?
A. self esteem
B. compliments
C. delicious food
D. easy life
E. fulfillment",the correct choice is C which is delicious food.
"Based on the question about celebrating, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The teenagers were celebrating irresponsibly, what were they doing?
A. drinking
B. lude behavior
C. happiness
D. intimacy
E. enjoyment",the correct choice is A which is drinking.
"Based on the question about giving assistance, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The mom liked giving assistance to her children, why did she do it?
A. law suits
B. feel loved
C. contractual obligation
D. happiness
E. out of pocket",the correct choice is B which is feel loved.
"Based on the question about bird, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What does the bird have in tree?
A. forest
B. hope
C. sky
D. nest
E. roof",the correct choice is D which is nest.
"Based on the question about dental office, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
It seemed weird to have a dental office located next to a candy store and fast food location at the what?
A. medical building
B. hospital
C. school
D. strip mall
E. urban area",the correct choice is D which is strip mall.
"Based on the question about steakhouse, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What relatively small area is known for its steakhouses?
A. maine
B. florida
C. arizona
D. kansas city
E. michigan",the correct choice is D which is kansas city.
"Based on the question about earth, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Most people recognize that earth experiences a set of distinct what?
A. four seasons
B. one moon
C. cold tempurature
D. gravity
E. six populated continents",the correct choice is A which is four seasons.
"Based on the question about person, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Why would a person stay in a relationship with  a man?
A. acknowledgment
B. good lover
C. mercy
D. make others happy
E. low crime",the correct choice is B which is good lover.
"Based on the question about start family, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
How do you start family?
A. spend money
B. get married
C. stressed
D. get pregnant
E. have sex",the correct choice is E which is have sex.
"Based on the question about monkey, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The playroom had many classic toys, the child spilled out each and every plastic monkey out of the what?
A. captivity
B. puzzle
C. barrel
D. thailand
E. rain forest",the correct choice is C which is barrel.
"Based on the question about ridiculous, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
When someone isn't ridiculous at all they are what?
A. straightforward
B. serious
C. sad
D. somber
E. solemn",the correct choice is B which is serious.
"Based on the question about bald eagle, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
When not in a city where would expect to see a bald eagle?
A. painting
B. aviary
C. rural area
D. zoo
E. colorado",the correct choice is C which is rural area.
"Based on the question about drawing room, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The drawing room was one of fifty rooms, where was it located?
A. kid's house
B. studio
C. large house
D. house in england
E. mansion",the correct choice is C which is large house.
"Based on the question about sunshine, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Joe thought that the reflected sunshine made something look beautiful.  What might Joe be looking at?
A. desktop
B. moon
C. beach
D. street
E. a frying pan",the correct choice is B which is moon.
"Based on the question about glass, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If you have an empty glass and are thirsty, where would you put the glass?
A. refrigerator
B. table
C. dishwasher
D. water cooler
E. dining room",the correct choice is D which is water cooler.
"Based on the question about join, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Samantha decided to join the game, but there wasn't space. She had to stay on the waitlist until someone else did what?
A. opt out
B. separate
C. opt out
D. leave
E. split apart",the correct choice is D which is leave.
"Based on the question about drink, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The drink was very sweet.  To maintain his calorie count, John thought that he should have less what?
A. throw up
B. food
C. coffee
D. stumble
E. food",the correct choice is E which is food.
"Based on the question about lead, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Graphite is referred to as lead in what writing implement?
A. lead pencil
B. black
C. very heavy
D. news article
E. card game",the correct choice is A which is lead pencil.
"Based on the question about get up early, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What can we assume about people who get up early?
A. go sleep early
B. ask spouse to wake
C. fix up alarm
D. go to bed early
E. get rooster",the correct choice is A which is go sleep early.
"Based on the question about sword, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you go to see a sword?
A. container called scabbard
B. school
C. collection
D. museum
E. sheath",the correct choice is D which is museum.
"Based on the question about stylus, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
He was a bit of an audiophile, he replaced the stylus almost as often as he switched albums to listen to on his what?
A. record player
B. palm pilot
C. hand
D. ink
E. fridge",the correct choice is A which is record player.
"Based on the question about lizard, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where does a lizard that needs warmth likely live?
A. garden
B. new mexico books
C. tropics
D. china
E. forrest",the correct choice is C which is tropics.
"Based on the question about clear, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The picture was clear,. Obviously, there had been a what?
A. murky
B. dirty
C. confusing
D. invisible
E. misunderstood",the correct choice is E which is misunderstood.
"Based on the question about everybody, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What does everyone try their whole life to be?
A. sad
B. happy
C. grow old
D. cat
E. believed",the correct choice is B which is happy.
"Based on the question about meeting people, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What causes meeting people to be preceded by meditation?
A. being bored
B. panic attack
C. anxiety
D. making new friends
E. love",the correct choice is C which is anxiety.
"Based on the question about watching film, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Billy hated watchign the turtle move.  He couldn't stand the silly parts.  He was annoyed by all of the what?
A. ridiculous
B. enjoyment
C. relaxation
D. stupidity
E. like",the correct choice is D which is stupidity.
"Based on the question about bill, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you go to argue about important bills?
A. mail box
B. the post office
C. congress
D. restaurant
E. trash",the correct choice is C which is congress.
"Based on the question about freezer, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you be unlikely to find a freezer?
A. own home
B. office building
C. garage
D. appliance store
E. flat",the correct choice is C which is garage.
"Based on the question about lady, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The lady had limited time and had to buy many things, where should she go?
A. supermarket
B. grocery store
C. walmart
D. church
E. bathroom",the correct choice is A which is supermarket.
"Based on the question about freezer, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you get a freezer if you do not have one?
A. icy cold
B. own home
C. garage
D. freeze food
E. appliance store",the correct choice is E which is appliance store.
"Based on the question about doing housework, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If you were doing housework and there was a lot of dust, what can it give you?
A. arguments
B. dust poisoning
C. headache
D. exhaustion
E. boredom",the correct choice is C which is headache.
"Based on the question about second floor, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The first or second floor is the safest from fire when you sleep where away from home?
A. house
B. office building
C. parking space
D. school
E. hotel",the correct choice is E which is hotel.
"Based on the question about toilet, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Everyone crowded around the toilet during a break in the event, where was the toilet?
A. restaurant
B. stadium
C. space shuttle
D. mall
E. bathroom",the correct choice is B which is stadium.
"Based on the question about chatting with friends, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
When chatting with friends you admire, what are you hoping to achieve?
A. feel close to
B. exchanging information
C. love
D. social approval
E. exchanging smiles",the correct choice is D which is social approval.
"Based on the question about food, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
There was no food in Danny place.  He had to go across the road and ask for some. Where might he have asked for food?
A. kitchen
B. military base
C. shelf
D. neighbor's house
E. restroom",the correct choice is D which is neighbor's house.
"Based on the question about chemicals, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Sally and Joe were burned by chemicals because they ignored the signs.  She had chemical burns in her vagina.   Where might they have been?
A. swimming pool
B. beach
C. crystal meth lab
D. chemistry lab
E. laboratory",the correct choice is A which is swimming pool.
"Based on the question about conquer opponent, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The board game instructed that you must conquer opponent, only the what would come out on top?
A. top piece
B. strong
C. win
D. total domination
E. best",the correct choice is E which is best.
"Based on the question about friends, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What happens when friends observe something at the same time?
A. travel together
B. borrow money
C. conspire
D. visit each other
E. see like",the correct choice is E which is see like.
"Based on the question about eating hamburger, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
John didn't like eating the hamburger.  It made him feel what?
A. enjoy
B. satisfaction
C. sad
D. death
E. nausea",the correct choice is E which is nausea.
"Based on the question about travellers, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you find a group of travellers who are travelling by road?
A. stop
B. bus depot
C. rest area
D. train station
E. airport",the correct choice is B which is bus depot.
"Based on the question about diaphragm, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Steve breathed in deeply, using his diaphragm.   The diaphragm is a muscle.  Name something that has muscles?
A. human
B. woman's body
C. valve
D. pay debts
E. drugstore",the correct choice is A which is human.
"Based on the question about doorway, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What doorway is likely to have a large wooden door?
A. home
B. airport
C. skyscraper
D. castle
E. every building",the correct choice is D which is castle.
"Based on the question about monkey, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where could you find a monkey, elephant, or zebra enjoying a drink?
A. african continent
B. bar
C. amazon basin
D. research laboratory
E. friend's house",the correct choice is C which is amazon basin.
"Based on the question about insects, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
John saw an insect using its legs to do this.  Mary saw some insects using their wings to do this.   What is this?
A. buzz
B. sense vibrations
C. move
D. eat
E. fly",the correct choice is C which is move.
"Based on the question about get up early, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What is the best course of action for a person to take if they want to get up early?
A. go to bed early
B. fix up alarm
C. go sleep early
D. dawn
E. ask spouse to wake",the correct choice is A which is go to bed early.
"Based on the question about pencil, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where are you when you need a pencil during a advanced theoretical physics speech?
A. desk drawer
B. home
C. university
D. classroom
E. pocket",the correct choice is C which is university.
"Based on the question about expressing yourself, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Art, playing music, and other hobbies are great ways of expressing yourself that can be great what?
A. fight
B. communication
C. fun
D. understood
E. suffering",the correct choice is C which is fun.
"Based on the question about birds, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where is a variety of birds likely to be?
A. store
B. park
C. forest
D. air
E. countryside",the correct choice is E which is countryside.
"Based on the question about poor, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The living conditions were poor, but the building wasn't condemned as they were still barely what?
A. adequate
B. poormouth
C. rich
D. enough
E. good",the correct choice is A which is adequate.
"Based on the question about toll road, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Which coast are toll roads not near the pacific ocean on?
A. delaware
B. new jersey
C. eastern united states
D. connecticut
E. good repair",the correct choice is C which is eastern united states.
"Based on the question about tin, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you put tin after you buy it?
A. hardware store
B. antique store
C. shopping bag
D. shed
E. landfill",the correct choice is C which is shopping bag.
"Based on the question about clothing, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where can you buy clothing, sporting goods, and housewares?
A. backpack
B. house
C. department store
D. mall
E. table",the correct choice is C which is department store.
"Based on the question about kids, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where can you take your kids to buy things for them to play with?
A. disneyland
B. jungle
C. swimming pool
D. toy store
E. home",the correct choice is D which is toy store.
"Based on the question about dogs, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
When they say dogs are a man's best friend, they aren't talking about just whats?
A. four legs
B. males
C. electrical circuit
D. pet
E. sniff",the correct choice is B which is males.
"Based on the question about breathing fresh air, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
When a person climbs a mountain and is breathing fresh air, which feeling are they likely to have?
A. exhilaration
B. clear head
C. feeling better
D. reviving
E. happiness",the correct choice is A which is exhilaration.
"Based on the question about writing program, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What might an unsuccessful writing program cause?
A. unexpected results
B. bugs
C. satisfaction
D. frustration
E. aggrevation",the correct choice is D which is frustration.
"Based on the question about flute, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where is a flute likely to be in a pit?
A. party
B. orchestra
C. musical instrument store
D. marching band
E. symphony",the correct choice is B which is orchestra.
"Based on the question about people, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Sometimes people say that someone stupid has no what?
A. names
B. dress
C. brains
D. brown hair
E. two eyes",the correct choice is C which is brains.
"Based on the question about ficus, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you put a ficus if you do not want it to get your carpet dirty?
A. ground
B. arboretum
C. apartment
D. refrigerator
E. california",the correct choice is A which is ground.
"Based on the question about alone, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
She was distracted in thought in class, she felt alone even what?
A. with someone
B. many people
C. with others
D. surrounded
E. in crowd",the correct choice is E which is in crowd.
"Based on the question about hole, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where could you make a hole with your fist?
A. swiss cheese
B. football ground
C. ground
D. golf course
E. wall",the correct choice is E which is wall.
"Based on the question about tennis court, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you find a tennis court made from red clay?
A. new york
B. wimbledon
C. town
D. country club
E. health club",the correct choice is B which is wimbledon.
"Based on the question about have rest, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If you legs are tired and you need to have a rest you should do what?
A. sleep
B. sit down
C. go to bed
D. run
E. closing eyes",the correct choice is B which is sit down.
"Based on the question about playing tennis, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What happens to most people after playing tennis all day?
A. championship
B. becoming tired
C. tennis elbow
D. victory
E. friends",the correct choice is B which is becoming tired.
"Based on the question about television, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where does a television often display sports?
A. restaurant
B. living room
C. bar
D. apartment
E. house",the correct choice is C which is bar.
"Based on the question about animals, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The animals all knew the importants of fluids.  They also knew what was safe to do what?
A. drink
B. feel pain
C. bite
D. fly
E. gay",the correct choice is A which is drink.
"Based on the question about sex, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
After the sex she had spent the night at his house, he got up early to make and what?
A. love another
B. coffee
C. smoke
D. eat breakfast
E. wait for",the correct choice is D which is eat breakfast.
"Based on the question about auspicious, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The king gave a speech about it being an auspicious day, but he was assassinated in the middle of it making it actually what?
A. ominous
B. coincidental
C. ruinous
D. inauspicious
E. disastrous",the correct choice is E which is disastrous.
"Based on the question about having food, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
When having food it is common to do what other act of consumption?
A. drinking
B. playing poker
C. sit
D. talk
E. being greedy",the correct choice is A which is drinking.
"Based on the question about stress, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What might someone do too much  of if they are experiencing stress?
A. clean house
B. use drugs
C. drink alcohol
D. hang out at bar
E. dream",the correct choice is C which is drink alcohol.
"Based on the question about potato, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where does a small farmer keep a potato after it's done growing?
A. root cellar
B. own kitchen
C. clam chowder
D. desk drawer
E. kitchen cabinet",the correct choice is B which is own kitchen.
"Based on the question about people, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
How can people gain new perspectives?
A. waste paper
B. tickle tarantulas
C. pay bills
D. change direction
E. travel abroad",the correct choice is E which is travel abroad.
"Based on the question about killing people, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If a murderer killed people related to one's family, the family members would feel what when crying?
A. remorse
B. retaliation
C. terrible
D. anguish
E. wet",the correct choice is D which is anguish.
"Based on the question about seats, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would seats be used to watch a movie?
A. cinema
B. movies
C. hockey game
D. theater
E. opera",the correct choice is D which is theater.
"Based on the question about success, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
John is an omnidiciplinarian. Where might he find success?
A. ocean
B. working hard
C. various situations
D. michigan
E. awards ceremony",the correct choice is C which is various situations.
"Based on the question about door, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If I wanted to go through a door, but it was closed, what would I have to do to it?
A. keep people out
B. enclose cupboard
C. teleport
D. glass
E. open",the correct choice is E which is open.
"Based on the question about jellyfish, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The small child liked looking at all the pictures of the animals and hearing his mom say the accompanying rhymes, but the jellyfish was his favorite animal in the whole what?
A. japanese restaurant
B. lake
C. zoo
D. book
E. current",the correct choice is D which is book.
"Based on the question about doing housework, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If you're wet cleaning a floor while doing housework, what do you need?
A. fan
B. energy
C. vacuuming
D. mop
E. broom",the correct choice is D which is mop.
"Based on the question about beautiful, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Beautiful lightning strikes happen on what kind of day?
A. november
B. rainy
C. dull
D. wet
E. average",the correct choice is B which is rainy.
"Based on the question about alcohol, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Drinking alcohol can make me lose this?
A. socialize
B. eating
C. fool
D. dance
E. sleep at night",the correct choice is E which is sleep at night.
"Based on the question about explosive, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What are you likely to see on Independence Day?
A. groundhog
B. construction site
C. landmine
D. army
E. fireworks display",the correct choice is E which is fireworks display.
"Based on the question about shirt, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where can a shirt be found in a hotel room?
A. closet
B. drawer
C. garderobe
D. shelf
E. suitcase",the correct choice is E which is suitcase.
"Based on the question about remembering, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What do you do to make sure that you are remembering?
A. bad time
B. closing eyes
C. answering question
D. stopping to think
E. forgetting",the correct choice is D which is stopping to think.
"Based on the question about beer, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where can I drink beer or any other alcoholic beverage?
A. bar
B. vending machine
C. bottle
D. refrigerator
E. hockey game",the correct choice is A which is bar.
"Based on the question about killing people, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
After killing people in a rage what is someone likely to feel?
A. stomach ache
B. retaliation
C. sadness
D. remorse
E. going to jail",the correct choice is D which is remorse.
"Based on the question about salt, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Who is likely to use too much salt?
A. shaker
B. fast food restaurant
C. kitchen cupboard
D. people
E. table",the correct choice is B which is fast food restaurant.
"Based on the question about meeting people, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What did the friendly man do when meeting knew people to show he was happy?
A. say hello
B. start a conversation
C. introducing yourself
D. shake hands
E. smiling",the correct choice is E which is smiling.
"Based on the question about sun, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where does the sun set?
A. outer space
B. horizon
C. beach
D. west
E. beans",the correct choice is D which is west.
"Based on the question about skiing, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What is likely to someone in a skiing accident likely to have in more than one place?
A. frost bite
B. broken bones
C. chapped lips
D. healthy body
E. broken legs",the correct choice is B which is broken bones.
"Based on the question about care, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
John tried his best to care for Kate, but Kate kept throwing herself into danger.  He couldn't stand her what for her own safety?
A. unfeeling
B. disregard
C. indifferent
D. neglect
E. apathetic",the correct choice is B which is disregard.
"Based on the question about loath, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The agent of change had a loath feeling for the king, he would set for a plan to have him what?
A. recycled
B. inclined
C. disposed
D. avid
E. enthusiastic",the correct choice is C which is disposed.
"Based on the question about poet, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
A poet may need to go where to achieve learning as an adult?
A. classroom
B. english class
C. university
D. book store
E. home",the correct choice is C which is university.
"Based on the question about towel, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would a kitchen towel be found?
A. cupboard
B. at hotel
C. linen closet
D. under a rock
E. locker room",the correct choice is A which is cupboard.
"Based on the question about answering questions, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Answering questions followed by saying, ""sir"" or ""ma'am"" is an indication that you are what?
A. irritation
B. correct
C. responding
D. polite
E. sadness",the correct choice is D which is polite.
"Based on the question about anger, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Matt had issues controlling his anger, what did he do when someone set him off?
A. destroy enemy
B. punch
C. cool off
D. write letter
E. illustrate point",the correct choice is B which is punch.
"Based on the question about people, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
When two people are doing the same thing, what do they tend to do?
A. read stories
B. compete
C. help
D. solve problems
E. give orders",the correct choice is B which is compete.
"Based on the question about going to party, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Billy liked going to the party.  He enjoyed mixing.  He liked to do what?
A. plan
B. meet new people
C. getting drunk
D. have fun
E. the watusi",the correct choice is B which is meet new people.
"Based on the question about ticket office, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
After checking in at the ticket office the couple entered their prom in the school's what?
A. movie theaters
B. end of line
C. football field
D. auditorium
E. opera house",the correct choice is D which is auditorium.
"Based on the question about person, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What would a person do if they saw a bully make a person cry but they wanted no trouble?
A. courageous
B. step up
C. keep walking
D. cross street
E. do nothing",the correct choice is E which is do nothing.
"Based on the question about kooky, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The hipsters tried to take a disingenuous kooky approach to their cafe, they were soon out of business to the competitor who took what kind of approach?
A. mainstream
B. straight
C. right
D. conventional
E. uneccentric",the correct choice is D which is conventional.
"Based on the question about ballpoint pen, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where is a ballpoint pen best stored?
A. pocket
B. stationery store
C. backpack
D. desk drawer
E. bank",the correct choice is D which is desk drawer.
"Based on the question about ticket office, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If you cut when waiting at the ticket office, what should your punishment be?
A. auditorium
B. humans
C. opera house
D. death
E. end of line",the correct choice is E which is end of line.
"Based on the question about success, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Success is usually a product of preparation and what?
A. awards ceremony
B. various situations
C. vocation
D. working hard
E. promotion",the correct choice is D which is working hard.
"Based on the question about air conditioner, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What professional space is likely to have an air conditioner?
A. office building
B. texas
C. house
D. humid
E. warm climates",the correct choice is A which is office building.
"Based on the question about living life, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The key to happiness while living life is to do more than what?
A. existing
B. happiness
C. early death
D. acquiring knowledge
E. being idle",the correct choice is A which is existing.
"Based on the question about cook dinner, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
He had said he would cook dinner, but first he needed to what?
A. hungry
B. buy a kitchen
C. buy food
D. buy groceries
E. eat food",the correct choice is D which is buy groceries.
"Based on the question about stopping being married to, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Stopping being married to each other might seem like a negative thing as it is an end, but it can also be a beginning that brings what?
A. grief
B. confusion
C. relief
D. depression
E. happiness",the correct choice is E which is happiness.
"Based on the question about friends, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
James and Jenny are good friends.  They spend a lot of time together and usually get home late.   Jenny is very smart and James likes to hear her doing something. What might James like to hear Jenny do?
A. tell story
B. sing
C. clean room
D. going out at night
E. jump rope",the correct choice is A which is tell story.
"Based on the question about bank, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If I go to a bank to get money, where could I go next to get household items and food?
A. city
B. financial center
C. main street
D. grocery store
E. salon",the correct choice is D which is grocery store.
"Based on the question about person, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If someone is free from guilt what are they likely to achieve?
A. peaceful sleep
B. freedom from want
C. medal
D. headache
E. new computer",the correct choice is A which is peaceful sleep.
"Based on the question about human, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Danny hasn't experienced all that it means to be human yet.  He is missing something important.  What might he be missing?
A. space shuttle
B. library
C. school
D. love
E. wife",the correct choice is D which is love.
"Based on the question about two people, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What is it called when two people have the same point of view?
A. make love
B. when they hug
C. shake hands
D. agree with each other
E. work together",the correct choice is D which is agree with each other.
"Based on the question about hiking, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What could happen after you were hiking for only a short time?
A. adventure
B. smile
C. cramps
D. sweating
E. give up",the correct choice is B which is smile.
"Based on the question about people, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where might people gather while they are waiting for a ride across town?
A. wedding
B. bus stop
C. convention
D. pool
E. apartment",the correct choice is B which is bus stop.
"Based on the question about fortune, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
I want to make a fortune selling houses, what should I study?
A. real estate
B. treasure chest
C. stock market
D. business
E. bank",the correct choice is A which is real estate.
"Based on the question about washing hands, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
She had a bad habit of washing hands over one thousand times a day, what did she experience as a result?
A. health
B. become wet
C. skin irritation
D. dry skin
E. medium",the correct choice is D which is dry skin.
"Based on the question about priest, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If there are people watching a priest, what is he doing?
A. on trial
B. drink coffee
C. believe in god
D. baptise
E. say mass",the correct choice is E which is say mass.
"Based on the question about driving to work, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What can you do while driving to work that involves sound but does not require you to move your mouth?
A. anger
B. listen to radio
C. speed
D. sing
E. statue",the correct choice is B which is listen to radio.
"Based on the question about marmoset, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where does a marmoset roam free?
A. rainforest
B. kitchen
C. wilderness
D. dictionary
E. burrow",the correct choice is C which is wilderness.
"Based on the question about kingdom, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What form of government is most associated with kingdoms?
A. monarchy
B. ruled by government
C. europe
D. book
E. king",the correct choice is A which is monarchy.
"Based on the question about respect, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Manny refused to give the court respect, and was charged with what?
A. dishonor
B. contempt
C. humiliate
D. disdain
E. scorn",the correct choice is B which is contempt.
"Based on the question about storm, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where does the red cross respond to a storm?
A. summer
B. tropics
C. blue shield
D. weather report
E. america",the correct choice is E which is america.
"Based on the question about sloth, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The sloth of a man was convicted of the crime caused by his apathy, he would spend at least a hundred hours finally doing a what?
A. commercial
B. three toed
C. civil service
D. paraguay
E. costa rica",the correct choice is C which is civil service.
"Based on the question about sitting down, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
They were all sitting down and getting comfortable, this doesn't always necessarily require a what?
A. legs
B. chair
C. laziness
D. floor
E. sit on",the correct choice is B which is chair.
"Based on the question about run after ball, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The dog loved to run after ball, it would do it over and over until it would what?
A. get tired
B. ball stopped
C. fall and hurt yourself
D. breathe
E. catching",the correct choice is A which is get tired.
"Based on the question about human, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where can a human relax?
A. workplace
B. park
C. church
D. war zone
E. jail",the correct choice is B which is park.
"Based on the question about people, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where could you find many people standing inside?
A. school
B. supermarket
C. street corner
D. public place
E. space shuttle",the correct choice is D which is public place.
"Based on the question about water, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What can large amounts of water do over long periods of time?
A. room temperature
B. thin blood
C. make parks
D. take several forms
E. move mountains",the correct choice is E which is move mountains.
